model,experiment,n_items,n_correct_items,item_accuracy,n_pools,n_correct_pools,aggregate_accuracy,n_incomplete_pools
gemma,audio_only,1200,895,0.7458333333333333,300,125,0.4166666666666667,0
gemma,audio_video,1200,926,0.7716666666666666,300,147,0.49,0
gemma,transcription_only,1200,843,0.7025,300,113,0.37666666666666665,0
gemma,video_only,1200,838,0.6983333333333334,300,102,0.34,0
gemma,video_transcription,1200,901,0.7508333333333334,300,128,0.4266666666666667,0
gemma-4-12B,audio_only,1200,911,0.7591666666666667,300,141,0.47,0
gemma-4-12B,audio_video,1200,966,0.805,300,166,0.5533333333333333,0
gemma-4-12B,transcription_only,1200,831,0.6925,300,108,0.36,0
gemma-4-12B,video_only,1200,877,0.7308333333333333,300,126,0.42,0
gemma-4-12B,video_transcription,1200,1017,0.8475,300,192,0.64,0
qwen,audio_only,1200,882,0.735,300,121,0.4033333333333333,0
qwen,audio_video,1200,947,0.7891666666666667,300,150,0.5,0
qwen,transcription_only,1200,798,0.665,300,94,0.31333333333333335,0
qwen,video_only,1200,870,0.725,300,115,0.38333333333333336,0
qwen,video_transcription,1200,906,0.755,300,133,0.44333333333333336,0
qwen-30B,audio_only,1200,950,0.7916666666666666,300,167,0.5566666666666666,0
qwen-30B,audio_video,1200,998,0.8316666666666667,300,182,0.6066666666666667,0
qwen-30B,transcription_only,1200,924,0.77,300,156,0.52,0
qwen-30B,video_only,1200,879,0.7325,300,124,0.41333333333333333,0
qwen-30B,video_transcription,1200,1009,0.8408333333333333,300,190,0.6333333333333333,0
