model,question_category,n_items,raw_accuracy,language_only_advantage,mcc,p_choose_answer1,p_choose_answer2,position_bias,preferred_position
gemma,causale,400,0.6825,0.1825,0.36500456258554864,0.5025,0.4975,0.0024999999999999467,answer1
gemma,spaziale,400,0.555,0.05500000000000005,0.11331177597167026,0.62,0.38,0.12,answer1
gemma,temporale,400,0.485,-0.015000000000000013,-0.020474535520338795,0.8010204081632653,0.1989795918367347,0.30102040816326525,answer1
gemma-4-12B,causale,400,0.68,0.18000000000000005,0.38280546905320206,0.67,0.33,0.17000000000000004,answer1
gemma-4-12B,spaziale,400,0.5775,0.07750000000000001,0.2096037389135621,0.8115577889447236,0.1884422110552764,0.31155778894472363,answer1
gemma-4-12B,temporale,400,0.52,0.020000000000000018,0.07617428974947267,0.8401015228426396,0.1598984771573604,0.3401015228426396,answer1
qwen,causale,400,0.5125,0.012499999999999956,0.09532892796759983,0.9825,0.0175,0.48250000000000004,answer1
qwen,spaziale,400,0.505,0.0050000000000000044,0.0708881205008336,0.995,0.005,0.495,answer1
qwen,temporale,400,0.5075,0.007499999999999951,0.0869291381699617,0.9925,0.0075,0.49250000000000005,answer1
qwen-30B,causale,400,0.6475,0.14749999999999996,0.31686102856699416,0.3175,0.6825,0.1825,answer2
qwen-30B,spaziale,400,0.6275,0.12749999999999995,0.25500318755976686,0.5025,0.4975,0.0024999999999999467,answer1
qwen-30B,temporale,400,0.555,0.05500000000000005,0.11004953343757913,0.485,0.515,0.015000000000000013,answer2
