id_video,status,numero_segmenti,numero_elementi,numero_errori,output
video037,completed,11,131,0,data/preliminar_analysis/semantic_analysis/gemma/video037_semantic.json
video038,completed,12,73,0,data/preliminar_analysis/semantic_analysis/gemma/video038_semantic.json
video039,completed,10,102,0,data/preliminar_analysis/semantic_analysis/gemma/video039_semantic.json
video040,completed,14,80,0,data/preliminar_analysis/semantic_analysis/gemma/video040_semantic.json
video041,completed,8,55,1,data/preliminar_analysis/semantic_analysis/gemma/video041_semantic.json
video042,completed,10,85,0,data/preliminar_analysis/semantic_analysis/gemma/video042_semantic.json
video043,completed,6,67,0,data/preliminar_analysis/semantic_analysis/gemma/video043_semantic.json
video044,completed,11,74,0,data/preliminar_analysis/semantic_analysis/gemma/video044_semantic.json
video045,completed,11,56,0,data/preliminar_analysis/semantic_analysis/gemma/video045_semantic.json
video046,completed,12,64,0,data/preliminar_analysis/semantic_analysis/gemma/video046_semantic.json
video047,completed,12,39,0,data/preliminar_analysis/semantic_analysis/gemma/video047_semantic.json
video048,completed,15,111,0,data/preliminar_analysis/semantic_analysis/gemma/video048_semantic.json
video049,completed,12,118,0,data/preliminar_analysis/semantic_analysis/gemma/video049_semantic.json
video050,completed,7,56,0,data/preliminar_analysis/semantic_analysis/gemma/video050_semantic.json
video051,completed,7,84,0,data/preliminar_analysis/semantic_analysis/gemma/video051_semantic.json
video052,completed,10,96,0,data/preliminar_analysis/semantic_analysis/gemma/video052_semantic.json
video053,completed,10,91,0,data/preliminar_analysis/semantic_analysis/gemma/video053_semantic.json
video054,completed,11,104,0,data/preliminar_analysis/semantic_analysis/gemma/video054_semantic.json
video055,completed,10,111,0,data/preliminar_analysis/semantic_analysis/gemma/video055_semantic.json
video056,completed,10,67,0,data/preliminar_analysis/semantic_analysis/gemma/video056_semantic.json
video057,completed,12,108,0,data/preliminar_analysis/semantic_analysis/gemma/video057_semantic.json
video058,completed,12,71,0,data/preliminar_analysis/semantic_analysis/gemma/video058_semantic.json
video059,completed,12,57,0,data/preliminar_analysis/semantic_analysis/gemma/video059_semantic.json
video060,completed,11,77,0,data/preliminar_analysis/semantic_analysis/gemma/video060_semantic.json
video061,completed,10,53,0,data/preliminar_analysis/semantic_analysis/gemma/video061_semantic.json
video062,completed,9,73,1,data/preliminar_analysis/semantic_analysis/gemma/video062_semantic.json
video063,completed,10,33,0,data/preliminar_analysis/semantic_analysis/gemma/video063_semantic.json
video064,completed,10,144,0,data/preliminar_analysis/semantic_analysis/gemma/video064_semantic.json
video065,completed,12,79,0,data/preliminar_analysis/semantic_analysis/gemma/video065_semantic.json
video066,completed,12,103,0,data/preliminar_analysis/semantic_analysis/gemma/video066_semantic.json
video067,completed,10,76,0,data/preliminar_analysis/semantic_analysis/gemma/video067_semantic.json
video068,completed,11,74,0,data/preliminar_analysis/semantic_analysis/gemma/video068_semantic.json
video069,completed,11,78,0,data/preliminar_analysis/semantic_analysis/gemma/video069_semantic.json
video070,completed,11,72,0,data/preliminar_analysis/semantic_analysis/gemma/video070_semantic.json
video071,completed,10,79,0,data/preliminar_analysis/semantic_analysis/gemma/video071_semantic.json
video072,completed,10,77,0,data/preliminar_analysis/semantic_analysis/gemma/video072_semantic.json
video073,completed,12,85,0,data/preliminar_analysis/semantic_analysis/gemma/video073_semantic.json
video074,completed,9,39,0,data/preliminar_analysis/semantic_analysis/gemma/video074_semantic.json
video075,completed,10,111,0,data/preliminar_analysis/semantic_analysis/gemma/video075_semantic.json
video076,completed,12,120,0,data/preliminar_analysis/semantic_analysis/gemma/video076_semantic.json
video077,completed,11,57,0,data/preliminar_analysis/semantic_analysis/gemma/video077_semantic.json
video078,completed,8,32,0,data/preliminar_analysis/semantic_analysis/gemma/video078_semantic.json
video079,completed,11,66,0,data/preliminar_analysis/semantic_analysis/gemma/video079_semantic.json
video080,completed,11,57,0,data/preliminar_analysis/semantic_analysis/gemma/video080_semantic.json
video081,completed,11,76,0,data/preliminar_analysis/semantic_analysis/gemma/video081_semantic.json
video082,completed,10,163,0,data/preliminar_analysis/semantic_analysis/gemma/video082_semantic.json
video083,completed,9,67,0,data/preliminar_analysis/semantic_analysis/gemma/video083_semantic.json
