id_video,status,numero_segmenti,numero_elementi,numero_errori,output
video080,completed,11,72,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video080_semantic.json
video081,completed,11,64,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video081_semantic.json
video082,completed,10,61,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video082_semantic.json
video083,completed,9,51,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video083_semantic.json
video084,completed,5,19,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video084_semantic.json
video085,completed,10,55,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video085_semantic.json
video086,completed,12,61,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video086_semantic.json
video087,completed,11,41,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video087_semantic.json
video088,completed,14,62,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video088_semantic.json
video089,completed,11,56,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video089_semantic.json
video090,completed,12,58,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video090_semantic.json
video091,completed,12,65,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video091_semantic.json
video092,completed,10,54,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video092_semantic.json
video093,completed,10,62,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video093_semantic.json
video094,completed,10,52,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video094_semantic.json
video095,completed,11,62,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video095_semantic.json
video096,completed,12,32,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video096_semantic.json
video097,completed,10,52,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video097_semantic.json
video098,completed,14,73,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video098_semantic.json
video099,completed,12,54,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video099_semantic.json
video100,completed,12,63,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-27B/video100_semantic.json
