id_video,status,numero_segmenti,numero_elementi,numero_errori,output
video001,completed,10,117,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video001_semantic.json
video002,completed,13,143,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video002_semantic.json
video003,completed,13,151,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video003_semantic.json
video004,completed,7,63,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video004_semantic.json
video005,completed,10,92,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video005_semantic.json
video006,completed,10,98,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video006_semantic.json
video007,completed,5,56,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video007_semantic.json
video008,completed,16,173,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video008_semantic.json
video009,completed,12,136,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video009_semantic.json
video010,completed,10,81,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video010_semantic.json
video011,completed,9,93,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video011_semantic.json
video012,completed,10,75,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video012_semantic.json
video013,completed,12,148,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video013_semantic.json
video014,completed,10,101,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video014_semantic.json
video015,completed,10,106,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video015_semantic.json
video016,completed,10,136,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video016_semantic.json
video017,completed,12,129,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video017_semantic.json
video018,completed,10,99,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video018_semantic.json
video019,completed,8,91,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video019_semantic.json
video020,completed,15,141,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video020_semantic.json
video021,completed,10,88,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video021_semantic.json
video022,completed,12,119,1,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video022_semantic.json
video023,completed,12,126,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video023_semantic.json
video024,completed,10,94,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video024_semantic.json
video025,completed,15,143,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video025_semantic.json
video026,completed,11,115,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video026_semantic.json
video027,completed,12,119,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video027_semantic.json
video028,completed,10,105,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video028_semantic.json
video029,completed,10,96,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video029_semantic.json
video030,completed,10,97,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video030_semantic.json
video031,completed,5,41,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video031_semantic.json
video032,completed,9,108,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video032_semantic.json
video033,completed,13,112,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video033_semantic.json
video034,completed,12,125,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video034_semantic.json
video035,completed,11,100,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video035_semantic.json
video036,completed,11,118,1,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video036_semantic.json
video037,completed,11,145,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video037_semantic.json
video038,completed,12,103,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video038_semantic.json
video039,completed,10,140,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video039_semantic.json
video040,completed,14,133,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video040_semantic.json
video041,completed,9,91,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video041_semantic.json
video042,completed,10,95,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video042_semantic.json
video043,completed,6,67,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/gemma-4-12B/video043_semantic.json
