id_video,numero_frame,numero_tracce,numero_rilevamenti
video001,120,22,369
video002,156,25,469
video003,148,38,480
video004,82,5,90
video005,118,12,183
video006,120,10,206
video007,56,10,102
video008,188,21,648
video009,140,20,529
video010,120,0,8
video011,100,5,189
video012,114,12,155
video013,141,27,393
video014,110,1,96
video015,115,27,235
video016,117,42,711
video017,140,28,324
video018,120,14,269
video019,96,17,303
video020,169,29,460
video021,118,7,231
video022,145,22,292
video023,140,15,234
video024,117,12,230
video025,171,18,278
video026,128,17,358
video027,140,25,592
video028,120,38,348
video029,120,23,417
video030,120,24,280
video031,52,4,56
video032,100,14,264
video033,152,16,214
video034,140,31,412
video035,129,25,443
video036,140,21,471
video037,129,24,472
video038,133,7,301
video039,120,41,1109
video040,160,22,339
video041,100,38,406
video042,120,15,224
video043,72,12,175
video044,132,19,196
video045,128,43,325
video046,136,29,275
video047,137,13,247
video048,180,51,1213
video049,140,19,186
video050,80,56,457
video051,80,30,576
video052,120,33,554
video053,120,25,681
video054,132,55,419
video055,120,38,297
video056,120,18,206
video057,140,82,949
video058,136,19,386
video059,144,13,293
video060,128,37,312
video061,120,19,261
video062,120,34,469
video063,120,27,378
video064,120,22,310
video065,136,48,787
video066,140,30,467
video067,120,24,459
video068,121,29,527
video069,121,15,260
video070,128,19,334
video071,120,43,505
video072,120,9,164
video073,141,11,554
video074,100,12,149
video075,120,70,636
video076,140,22,565
video077,124,11,133
video078,96,13,239
video079,132,31,513
video080,132,27,612
video081,132,37,583
video082,120,42,682
video083,104,20,210
video084,60,7,69
video085,120,12,168
video086,144,12,175
video087,128,7,158
video088,167,2,169
video089,128,26,709
video090,140,44,739
video091,140,67,828
video092,120,18,513
video093,120,26,252
video094,120,35,1031
video095,124,31,587
video096,140,10,142
video097,120,28,438
video098,164,6,557
video099,140,10,92
video100,143,14,165
