model,A,B,n,accA,accB,delta,ci_low,ci_high,A_correct_B_wrong,A_wrong_B_correct,p_raw,p_holm
gemma,no_input,video_only,1200,0.5741666666666667,0.6983333333333334,0.12416666666666665,0.08166666666666667,0.16666666666666666,186,335,6.671805165806516e-11,4.0030830994839097e-10
gemma,no_input,audio_only,1200,0.5741666666666667,0.7458333333333333,0.17166666666666663,0.13666666666666666,0.2075,91,297,1.326604844527606e-26,1.0612838756220847e-25
gemma,no_input,transcription_only,1200,0.5741666666666667,0.7025,0.1283333333333333,0.08833333333333333,0.16833333333333333,143,297,1.7132700084388608e-13,1.1992890059072026e-12
gemma,video_only,audio_video,1200,0.6983333333333334,0.7716666666666666,0.07333333333333325,0.0475,0.1,74,162,1.012432926081946e-08,5.0621646304097297e-08
gemma,video_only,video_transcription,1200,0.6983333333333334,0.7508333333333334,0.05249999999999999,0.0225,0.0825,95,158,8.983010833490257e-05,0.0003593204333396103
gemma,audio_only,audio_video,1200,0.7458333333333333,0.7716666666666666,0.025833333333333264,-0.004166666666666667,0.056666666666666664,128,159,0.07640373813290059,0.15280747626580118
gemma,transcription_only,video_transcription,1200,0.7025,0.7508333333333334,0.04833333333333334,0.011666666666666667,0.08416666666666667,163,221,0.0035738385262075803,0.010721515578622741
gemma,audio_video,video_transcription,1200,0.7716666666666666,0.7508333333333334,-0.02083333333333326,-0.04666666666666667,0.0041874999999981805,114,89,0.0918453003837809,0.15280747626580118
gemma-4-12B,no_input,video_only,1200,0.5925,0.7308333333333333,0.1383333333333333,0.10333333333333333,0.1725,88,254,8.285498294602435e-20,4.971298976761461e-19
gemma-4-12B,no_input,audio_only,1200,0.5925,0.7591666666666667,0.16666666666666663,0.13333333333333333,0.2,82,282,8.137133376466644e-27,5.695993363526651e-26
gemma-4-12B,no_input,transcription_only,1200,0.5925,0.6925,0.09999999999999998,0.06666666666666667,0.1325,96,216,9.012416322205008e-12,3.604966528882003e-11
gemma-4-12B,video_only,audio_video,1200,0.7308333333333333,0.805,0.07416666666666671,0.04666666666666667,0.1025,69,158,3.2997179779607417e-09,9.899153933882225e-09
gemma-4-12B,video_only,video_transcription,1200,0.7308333333333333,0.8475,0.1166666666666667,0.0825,0.15166666666666667,67,207,8.409158469504421e-18,4.2045792347522105e-17
gemma-4-12B,audio_only,audio_video,1200,0.7591666666666667,0.805,0.04583333333333339,0.0075,0.08416666666666667,130,185,0.002293967741471511,0.002293967741471511
gemma-4-12B,transcription_only,video_transcription,1200,0.6925,0.8475,0.15500000000000003,0.1225,0.18833333333333332,52,238,1.3525236259706065e-29,1.0820189007764852e-28
gemma-4-12B,audio_video,video_transcription,1200,0.805,0.8475,0.04249999999999998,0.0125,0.07333333333333333,84,135,0.0006929979741290346,0.0013859959482580692
qwen,no_input,video_only,1200,0.5083333333333333,0.725,0.21666666666666667,0.175,0.25916666666666666,158,418,4.433710887313229e-28,2.6602265323879374e-27
qwen,no_input,audio_only,1200,0.5083333333333333,0.735,0.22666666666666668,0.1875,0.26666666666666666,113,385,9.717680344168358e-36,7.774144275334686e-35
qwen,no_input,transcription_only,1200,0.5083333333333333,0.665,0.15666666666666673,0.125,0.18916666666666668,60,248,2.6389214423148743e-28,1.847245009620412e-27
qwen,video_only,audio_video,1200,0.725,0.7891666666666667,0.0641666666666667,0.03333333333333333,0.09416666666666666,78,155,5.086754703291901e-07,2.0347018813167604e-06
qwen,video_only,video_transcription,1200,0.725,0.755,0.030000000000000027,0.0025,0.0575,100,136,0.02250697344904828,0.02250697344904828
qwen,audio_only,audio_video,1200,0.735,0.7891666666666667,0.054166666666666696,0.024145833333333352,0.085,92,157,4.555704623862379e-05,0.00013667113871587136
qwen,transcription_only,video_transcription,1200,0.665,0.755,0.08999999999999997,0.055,0.12416666666666666,107,215,1.7608763939779112e-09,8.804381969889557e-09
qwen,audio_video,video_transcription,1200,0.7891666666666667,0.755,-0.03416666666666668,-0.06,-0.008333333333333333,120,79,0.00445503117021808,0.00891006234043616
qwen-30B,no_input,video_only,1200,0.61,0.7325,0.12250000000000005,0.08166666666666667,0.16333333333333333,129,276,2.204950617836126e-13,8.819802471344504e-13
qwen-30B,no_input,audio_only,1200,0.61,0.7916666666666666,0.18166666666666664,0.14,0.2225,108,326,1.6774808231607064e-26,1.341984658528565e-25
qwen-30B,no_input,transcription_only,1200,0.61,0.77,0.16000000000000003,0.1175,0.2025,126,318,3.179581896758807e-20,1.9077491380552842e-19
qwen-30B,video_only,audio_video,1200,0.7325,0.8316666666666667,0.09916666666666663,0.0725,0.12583333333333332,41,160,8.362811890159199e-18,4.181405945079599e-17
qwen-30B,video_only,video_transcription,1200,0.7325,0.8408333333333333,0.10833333333333328,0.08166666666666667,0.13583333333333333,33,163,7.260318488053715e-22,5.0822229416376e-21
qwen-30B,audio_only,audio_video,1200,0.7916666666666666,0.8316666666666667,0.040000000000000036,0.013333333333333334,0.06668749999999818,66,114,0.0004284359145340105,0.000856871829068021
qwen-30B,transcription_only,video_transcription,1200,0.77,0.8408333333333333,0.0708333333333333,0.03916666666666667,0.1025,81,166,6.787405649959841e-08,2.0362216949879523e-07
qwen-30B,audio_video,video_transcription,1200,0.8316666666666667,0.8408333333333333,0.009166666666666656,-0.010833333333333334,0.03,52,63,0.3511253697554321,0.3511253697554321
