model,A,B,n,accA,accB,delta,A_correct_B_wrong,A_wrong_B_correct,p_raw,p_holm
gemma,no_input,video_only,300,0.16666666666666666,0.34,0.17333333333333337,32,84,1.481143728223155e-06,7.405718641115775e-06
gemma,no_input,audio_only,300,0.16666666666666666,0.4166666666666667,0.25,19,94,4.045693021158809e-13,3.2365544169270473e-12
gemma,no_input,transcription_only,300,0.16666666666666666,0.37666666666666665,0.21,22,85,6.375481651166934e-10,4.462837155816853e-09
gemma,video_only,audio_video,300,0.34,0.49,0.14999999999999997,16,61,2.4176312825015983e-07,1.450578769500959e-06
gemma,video_only,video_transcription,300,0.34,0.4266666666666667,0.08666666666666667,27,53,0.004868154149559423,0.019472616598237694
gemma,audio_only,audio_video,300,0.4166666666666667,0.49,0.0733333333333333,28,50,0.016853089894602595,0.04904431169212843
gemma,transcription_only,video_transcription,300,0.37666666666666665,0.4266666666666667,0.050000000000000044,39,54,0.14617702864715262,0.14617702864715262
gemma,audio_video,video_transcription,300,0.49,0.4266666666666667,-0.0633333333333333,38,19,0.016348103897376145,0.04904431169212843
gemma-4-12B,no_input,video_only,300,0.16666666666666666,0.42,0.2533333333333333,14,90,9.242431266316357e-15,5.545458759789814e-14
gemma-4-12B,no_input,audio_only,300,0.16666666666666666,0.47,0.30333333333333334,12,103,3.3512414822437303e-19,2.6809931857949842e-18
gemma-4-12B,no_input,transcription_only,300,0.16666666666666666,0.36,0.19333333333333333,21,79,4.3373666334216375e-09,1.734946653368655e-08
gemma-4-12B,video_only,audio_video,300,0.42,0.5533333333333333,0.13333333333333336,15,55,1.652519847797991e-06,4.957559543393973e-06
gemma-4-12B,video_only,video_transcription,300,0.42,0.64,0.22000000000000003,19,85,3.7855174633264834e-11,1.8927587316632419e-10
gemma-4-12B,audio_only,audio_video,300,0.47,0.5533333333333333,0.08333333333333337,50,75,0.03140933356670003,0.03140933356670003
gemma-4-12B,transcription_only,video_transcription,300,0.36,0.64,0.28,10,94,2.8723304738734394e-18,2.0106313317114076e-17
gemma-4-12B,audio_video,video_transcription,300,0.5533333333333333,0.64,0.08666666666666667,29,55,0.0060379576322632045,0.012075915264526409
qwen,no_input,video_only,300,0.09,0.38333333333333336,0.29333333333333333,11,99,7.369793042206747e-19,5.158855129544723e-18
qwen,no_input,audio_only,300,0.09,0.4033333333333333,0.31333333333333335,11,105,2.1087572875819484e-20,1.6870058300655588e-19
qwen,no_input,transcription_only,300,0.09,0.31333333333333335,0.22333333333333336,6,73,9.995152261577009e-16,5.997091356946205e-15
qwen,video_only,audio_video,300,0.38333333333333336,0.5,0.11666666666666664,22,57,0.00010259635179423318,0.0004103854071769327
qwen,video_only,video_transcription,300,0.38333333333333336,0.44333333333333336,0.06,24,42,0.03558272445223169,0.07116544890446339
qwen,audio_only,audio_video,300,0.4033333333333333,0.5,0.09666666666666668,27,56,0.0019314374822250477,0.005794312446675143
qwen,transcription_only,video_transcription,300,0.31333333333333335,0.44333333333333336,0.13,25,64,4.321520924983878e-05,0.00021607604624919392
qwen,audio_video,video_transcription,300,0.5,0.44333333333333336,-0.05666666666666664,39,22,0.03961701489849968,0.07116544890446339
qwen-30B,no_input,video_only,300,0.23333333333333334,0.41333333333333333,0.18,29,83,3.290846169775185e-07,1.316338467910074e-06
qwen-30B,no_input,audio_only,300,0.23333333333333334,0.5566666666666666,0.3233333333333333,26,123,2.7487358754955478e-16,2.1989887003964382e-15
qwen-30B,no_input,transcription_only,300,0.23333333333333334,0.52,0.2866666666666667,30,116,3.917818466976086e-13,2.3506910801856516e-12
qwen-30B,video_only,audio_video,300,0.41333333333333333,0.6066666666666667,0.19333333333333336,11,69,2.0495153187175896e-11,1.0247576593587948e-10
qwen-30B,video_only,video_transcription,300,0.41333333333333333,0.6333333333333333,0.21999999999999997,7,73,5.79510097338583e-15,4.056570681370081e-14
qwen-30B,audio_only,audio_video,300,0.5566666666666666,0.6066666666666667,0.050000000000000044,24,39,0.07692583360960925,0.1538516672192185
qwen-30B,transcription_only,video_transcription,300,0.52,0.6333333333333333,0.11333333333333329,25,59,0.00026645108697203506,0.0007993532609161052
qwen-30B,audio_video,video_transcription,300,0.6066666666666667,0.6333333333333333,0.026666666666666616,16,24,0.26818725105476915,0.26818725105476915
